esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,422.0,,1795.0,97.8,-13.4,2.635,89.6,0.15,106.0,0.18,14.7,871.775,94.0,407.75,ESN17,2024-06-12 12:36:40,2024-06-12,12:36:40,1958,2191,51.36025000000007,-264.5,2.602400000000003,15.777999999999992,0.6020000000000039,-0.2690000000000019,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,424.0,,1724.0,93.1,-13.3,1.015,90.0,-1.5,104.55,0.08,14.83,850.0625,91.0,406.89,ESN17,2024-06-13 05:52:57,2024-06-13,05:52:57,1960,2189,29.647750000000087,-335.5,1.1524,11.077999999999989,1.0020000000000095,-0.1390000000000011,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,425.0,,1783.0,95.2,-14.0,2.13,87.9,-0.2,105.98,0.12,14.72,879.575,89.0,416.74,ESN17,2024-06-13 07:37:23,2024-06-13,07:37:23,1961,2188,59.16025000000013,-276.5,2.582400000000007,13.177999999999995,-1.0979999999999848,-0.2490000000000005,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,426.0,,1565.0,94.7,-14.1,4.235,100.9,5.6,106.76,0.125,14.63,891.4,91.0,423.4,ESN17,2024-06-13 11:19:24,2024-06-13,11:19:24,1962,2187,70.98525000000006,-494.5,3.362400000000008,12.677999999999995,11.902000000000015,-0.3390000000000004,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,428.0,,1652.0,83.1,-11.95,1.825,100.2,7.55,104.7,0.045,14.66,852.325,94.0,405.96,ESN17,2024-06-13 22:10:26,2024-06-13,22:10:26,1964,2185,31.910250000000133,-407.5,1.3024000000000058,1.0779999999999887,11.202000000000012,-0.309000000000001,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,429.0,,3142.0,83.1,-13.45,2.805,93.2,-0.55,105.77,0.13,14.97,881.1125,85.0,433.96,ESN17,2024-06-14 02:02:36,2024-06-14,02:02:36,1965,2184,60.69775000000004,1082.5,2.372399999999999,1.0779999999999887,4.202000000000012,0.0009999999999994,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,431.0,,3161.0,87.0,-13.65,2.85,102.9,7.85,104.85,0.105,14.56,871.4875,88.0,454.52,ESN17,2024-06-14 14:09:54,2024-06-14,14:09:54,1967,2182,51.07275000000004,1101.5,1.4523999999999972,4.977999999999994,13.902000000000015,-0.4090000000000007,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,432.0,,3466.0,94.5,-14.95,4.225,98.0,1.3,110.55,0.235,14.97,978.3375,90.0,527.84,ESN17,2024-06-15 09:06:46,2024-06-15,09:06:46,1968,2181,157.92275000000006,1406.5,7.1524,12.477999999999994,9.00200000000001,0.0009999999999994,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,433.0,,1597.0,77.1,-8.9,0.44,101.8,3.95,103.28,-0.005,14.72,830.9125,92.0,418.55,ESN17,2024-06-15 14:48:10,2024-06-15,14:48:10,1969,2180,10.49775000000011,-462.5,-0.1175999999999959,-4.922000000000011,12.802000000000008,-0.2490000000000005,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,434.0,,3325.0,88.8,-12.8,1.38,93.1,2.5,105.27,0.115,15.02,865.1875,89.0,437.56,ESN17,2024-06-16 02:55:03,2024-06-16,02:55:03,1970,2179,44.77275000000009,1265.5,1.872399999999999,6.777999999999992,4.102000000000004,0.0509999999999983,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,435.0,,1465.0,93.2,-11.4,2.395,87.5,1.65,102.7,0.09,14.67,817.0875,88.0,423.35,ESN17,2024-06-16 09:43:38,2024-06-16,09:43:38,1971,2178,-3.3272499999999354,-594.5,-0.6975999999999942,11.177999999999995,-1.4979999999999905,-0.2990000000000012,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,436.0,,1665.0,94.6,-11.95,2.705,91.4,2.5,104.76,0.105,14.69,848.4625,89.0,407.94,ESN17,2024-06-16 18:40:52,2024-06-16,18:40:52,1972,2177,28.047750000000065,-394.5,1.362400000000008,12.577999999999989,2.4020000000000152,-0.2790000000000017,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,437.0,,3198.0,96.3,-12.35,2.72,89.6,0.1,107.03,0.145,14.82,901.7625,91.0,434.25,ESN17,2024-06-16 21:57:55,2024-06-16,21:57:55,1973,2176,81.34775000000013,1138.5,3.632400000000004,14.277999999999992,0.6020000000000039,-0.1490000000000009,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,438.0,,1800.0,93.6,-13.0,2.09,92.4,2.5,105.18,0.105,14.74,866.125,92.0,434.81,ESN17,2024-06-17 06:44:41,2024-06-17,06:44:41,1974,2175,45.71025000000009,-259.5,1.7824000000000098,11.577999999999989,3.4020000000000152,-0.2290000000000009,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,439.0,,1495.0,99.3,-12.2,2.585,88.0,-0.25,105.03,0.16,14.89,851.55,92.0,413.49,ESN17,2024-06-17 10:55:36,2024-06-17,10:55:36,1975,2174,31.13525000000004,-564.5,1.632400000000004,17.27799999999999,-0.9979999999999905,-0.0790000000000006,0,1
