esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,is_engine_active,expected_max_cycle,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4663.0,,5948.0,76.3,7.15,-1.19,96.3,1.55,103.37,0.02,13.73,835.9125,91.0,407.44,ESN20,2026-04-23 04:10:57,2026-04-23,04:10:57,4953,47.0,1,5000.0,33.16050000000007,3660.46,0.4005999999999972,-2.430000000000007,5.340000000000018,-1.2905999999999995,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4664.0,,7025.0,88.2,7.85,-1.925,99.6,-1.35,106.57,-0.04,14.86,901.575,92.0,456.18,ESN20,2026-04-23 12:36:30,2026-04-23,12:36:30,4954,46.0,1,5000.0,98.82300000000008,4737.46,3.600599999999986,9.47,8.640000000000015,-0.1606000000000005,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4666.0,,7402.0,86.6,7.3,-1.525,99.4,2.25,107.02,0.01,14.99,915.4125,90.0,478.77,ESN20,2026-04-24 20:34:56,2026-04-24,20:34:56,4955,45.0,1,5000.0,112.66050000000008,5114.46,4.050599999999989,7.86999999999999,8.440000000000026,-0.0305999999999997,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4665.0,,6768.0,72.9,5.95,-1.155,95.6,1.5,102.7,-0.015,14.81,825.95,94.0,464.82,ESN20,2026-04-25 19:02:38,2026-04-25,19:02:38,4956,44.0,1,5000.0,23.198000000000093,4480.46,-0.2694000000000045,-5.829999999999998,4.640000000000015,-0.2105999999999994,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4667.0,,7084.0,66.8,7.25,-1.375,109.0,1.9,103.57,-0.02,14.66,848.225,90.0,478.86,ESN20,2026-04-26 03:05:31,2026-04-26,03:05:31,4957,43.0,1,5000.0,45.47300000000007,4796.46,0.6005999999999858,-11.930000000000009,18.04000000000002,-0.3605999999999998,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4668.0,,6838.0,85.5,7.7,-0.955,98.5,2.4,106.25,0.005,14.89,894.65,89.0,451.82,ESN20,2026-04-26 13:34:26,2026-04-26,13:34:26,4958,42.0,1,5000.0,91.89800000000002,4550.46,3.2805999999999926,6.769999999999996,7.54000000000002,-0.1305999999999993,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4669.0,,6565.0,86.4,7.0,-0.955,88.7,2.1,103.81,-0.02,15.19,839.375,91.0,446.89,ESN20,2026-04-26 19:03:39,2026-04-26,19:03:39,4959,41.0,1,5000.0,36.62300000000005,4277.46,0.8405999999999949,7.670000000000002,-2.2599999999999767,0.1693999999999995,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4670.0,,7689.0,76.5,7.3,-0.85,112.3,4.95,106.61,-0.085,14.83,910.025,91.0,487.54,ESN20,2026-04-27 20:10:39,2026-04-27,20:10:39,4960,40.0,1,5000.0,107.27300000000002,5401.46,3.640599999999992,-2.230000000000004,21.340000000000018,-0.1905999999999998,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4671.0,,6206.0,69.4,6.45,-1.18,95.7,1.05,101.1,-0.025,15.11,787.9,92.0,440.16,ESN20,2026-04-28 02:55:45,2026-04-28,02:55:45,4961,39.0,1,5000.0,-14.851999999999975,3918.46,-1.869400000000013,-9.329999999999998,4.740000000000023,0.0893999999999994,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4672.0,,7198.0,82.7,7.2,-1.655,101.8,-0.2,106.42,-0.05,15.02,900.975,92.0,470.58,ESN20,2026-04-28 21:31:45,2026-04-28,21:31:45,4962,38.0,1,5000.0,98.22300000000008,4910.46,3.4505999999999943,3.969999999999999,10.840000000000018,-0.0006000000000003,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4673.0,,7378.0,68.4,7.1,-1.395,115.7,1.5,104.22,-0.025,14.6,861.5,95.0,483.76,ESN20,2026-04-30 04:56:20,2026-04-30,04:56:20,4963,37.0,1,5000.0,58.74800000000005,5090.46,1.2505999999999915,-10.329999999999998,24.740000000000023,-0.4206000000000003,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4674.0,,7303.0,94.5,7.3,0.45,95.4,2.85,106.19,-0.01,14.78,895.05,91.0,467.33,ESN20,2026-04-30 23:05:55,2026-04-30,23:05:55,4964,36.0,1,5000.0,92.298,5015.46,3.2205999999999904,15.769999999999996,4.440000000000026,-0.2406000000000006,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4675.0,,8324.0,88.9,7.1,-1.72,95.7,2.0,108.84,-0.005,13.84,965.975,95.0,512.51,ESN20,2026-05-01 06:26:30,2026-05-01,06:26:30,4965,35.0,1,5000.0,163.22300000000007,6036.46,5.870599999999996,10.170000000000002,4.740000000000023,-1.1806,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4676.0,,7230.0,89.4,8.5,-0.48,99.6,1.5,106.42,-0.055,14.78,901.6,91.0,464.43,ESN20,2026-05-01 20:27:23,2026-05-01,20:27:23,4966,34.0,1,5000.0,98.84800000000008,4942.46,3.4505999999999943,10.670000000000002,8.640000000000015,-0.2406000000000006,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4677.0,,6740.0,67.3,,,101.2,,102.79,,14.9,826.325,90.0,464.24,ESN20,2026-05-02 02:09:50,2026-05-02,02:09:50,4967,33.0,1,5000.0,23.573000000000093,4452.46,-0.1794000000000011,-11.430000000000009,10.240000000000023,-0.1205999999999996,1,0
