esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2582.0,14.233,2126.0,79.8,2.6,-1.445,89.5,1.3,98.37,-0.025,4.73,695.775,253.0,160.94,ESN1,2026-04-27 03:34:31,2026-04-27,03:34:31,2591,11,-30.150609756097538,-176.82926829268308,-1.7585365853658317,-9.32926829268294,12.663414634146337,-0.3934146341463407,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2582.0,,7998.0,77.4,1.7,-4.63,100.3,1.1,105.74,-0.105,14.79,893.4875,102.0,521.03,ESN1,2026-04-27 06:31:13,2026-04-27,06:31:13,2592,10,29.933999999999852,5061.98,0.1705999999999932,-8.85799999999999,11.433999999999967,-0.211800000000002,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2583.0,,6678.0,77.4,2.15,-5.0,105.8,-3.45,105.16,-0.075,15.22,868.3125,91.0,447.82,ESN1,2026-04-27 22:42:12,2026-04-27,22:42:12,2593,9,4.758999999999901,3741.98,-0.4094000000000051,-8.85799999999999,16.93399999999997,0.2181999999999995,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2584.0,16.5045,2401.0,91.0,2.55,-1.425,87.4,2.2,100.39,-0.025,4.94,737.05,258.0,177.2,ESN1,2026-04-27 23:32:52,2026-04-27,23:32:52,2593,9,11.12439024390244,98.17073170731692,0.2614634146341643,1.8707317073170628,10.56341463414634,-0.1834146341463407,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2584.0,,6396.0,72.9,1.25,-2.93,99.7,1.15,102.71,-0.055,14.94,816.6625,92.0,444.23,ESN1,2026-04-28 05:13:00,2026-04-28,05:13:00,2594,8,-46.89100000000008,3459.98,-2.859400000000008,-13.35799999999999,10.833999999999977,-0.0618000000000016,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2585.0,,7077.0,80.2,1.85,-3.675,105.6,1.25,106.07,-0.09,15.12,888.8875,95.0,465.97,ESN1,2026-04-28 23:07:54,2026-04-28,23:07:54,2595,7,25.333999999999943,4140.98,0.5005999999999915,-6.057999999999993,16.733999999999966,0.118199999999998,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2586.0,9.5852,2393.0,99.3,2.9,-1.44,85.8,2.6,102.14,-0.01,4.97,764.0625,260.0,174.57,ESN1,2026-04-28 23:35:14,2026-04-28,23:35:14,2595,7,38.136890243902485,90.17073170731692,2.0114634146341643,10.17073170731706,8.963414634146332,-0.1534146341463413,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2586.0,19.9805,2301.0,80.5,2.45,-1.43,91.2,1.65,99.79,-0.02,4.77,727.1375,255.0,170.48,ESN1,2026-04-29 04:07:23,2026-04-29,04:07:23,2595,7,1.2118902439025303,-1.829268292683082,-0.33853658536583,-8.629268292682937,14.363414634146338,-0.3534146341463415,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2586.0,,6657.0,90.1,2.4,-3.775,94.2,2.25,105.78,-0.065,14.26,880.9,91.0,440.31,ESN1,2026-04-29 06:14:26,2026-04-29,06:14:26,2596,6,17.346499999999878,3720.98,0.2105999999999994,3.841999999999999,5.333999999999975,-0.7418000000000013,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2587.0,,6759.0,87.3,2.95,-3.85,98.8,1.5,106.33,-0.095,15.08,888.875,91.0,449.18,ESN1,2026-04-29 17:46:00,2026-04-29,17:46:00,2597,5,25.3214999999999,3822.98,0.7605999999999966,1.0420000000000016,9.933999999999967,0.0781999999999989,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2588.0,13.614,2140.0,77.3,2.25,-1.335,91.0,1.55,98.21,-0.02,4.77,693.2125,256.0,162.52,ESN1,2026-04-29 22:39:34,2026-04-29,22:39:34,2597,5,-32.71310975609754,-162.82926829268308,-1.9185365853658425,-11.82926829268294,14.163414634146337,-0.3534146341463415,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2588.0,,7153.0,75.3,2.3,-3.96,102.6,1.25,105.58,-0.09,14.6,879.9125,91.0,472.32,ESN1,2026-04-30 00:52:07,2026-04-30,00:52:07,2598,4,16.358999999999924,4216.98,0.0105999999999966,-10.957999999999998,13.733999999999966,-0.4018000000000015,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2589.0,,6706.0,89.0,1.85,-3.9,98.2,2.0,105.84,-0.095,15.1,881.2125,90.0,445.7,ESN1,2026-04-30 18:05:53,2026-04-30,18:05:53,2599,3,17.658999999999878,3769.98,0.2706000000000017,2.7420000000000044,9.333999999999977,0.0981999999999985,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2590.0,13.0148,2383.0,96.3,3.05,-1.445,85.4,2.65,100.5,-0.015,4.94,734.5,260.0,176.85,ESN1,2026-04-30 18:31:39,2026-04-30,18:31:39,2599,3,8.574390243902485,80.17073170731692,0.3714634146341637,7.17073170731706,8.56341463414634,-0.1834146341463407,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2590.0,,6842.0,75.8,1.95,-3.665,100.6,1.25,104.87,-0.095,14.69,865.8125,90.0,456.05,ESN1,2026-05-01 00:52:26,2026-05-01,00:52:26,2600,2,2.258999999999901,3905.98,-0.6993999999999971,-10.457999999999998,11.733999999999966,-0.3118000000000016,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2591.0,,7005.0,80.1,2.55,-3.97,106.0,1.15,106.08,-0.1,15.15,890.4875,94.0,461.52,ESN1,2026-05-01 22:32:22,2026-05-01,22:32:22,2601,1,26.933999999999852,4068.98,0.5105999999999966,-6.158000000000001,17.133999999999972,0.1481999999999992,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2592.0,21.5415,2507.0,85.8,3.05,-1.585,90.5,1.85,100.0,-0.025,5.44,722.9,270.0,187.64,ESN1,2026-05-01 23:52:08,2026-05-01,23:52:08,2601,1,-3.0256097560975377,204.1707317073169,-0.1285365853658362,-3.32926829268294,13.663414634146337,0.3165853658536592,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2592.0,,7393.0,87.9,2.1,-3.89,97.9,1.55,107.48,-0.075,14.12,923.4,92.0,474.76,ESN1,2026-05-02 05:42:46,2026-05-02,05:42:46,2602,0,59.84649999999988,4456.98,1.9106000000000023,1.64200000000001,9.033999999999978,-0.8818000000000019,1,0
